dia não útil,dia útil,hora
13.19158878504673,20.14334862385321,5
40.99543378995434,50.9151376146789,6
83.11363636363636,92.08009153318078,7
89.53181818181818,67.04233409610984,8
94.82805429864253,59.723112128146454,9
86.96380090497738,59.50057273768614,10
71.21719457013575,69.03432494279176,11
52.31221719457014,75.81693363844394,12
41.93665158371041,68.72279495990836,13
45.203619909502265,66.86270022883295,14
68.57466063348416,83.15789473684211,15
116.86877828054298,129.76430205949657,16
141.3710407239819,187.09153318077804,17
123.86425339366515,172.48054919908466,18
93.9502262443439,124.88659793814433,19
68.7918552036199,94.36353211009174,20
44.37556561085973,66.09965635738831,21
22.981900452488688,32.59679266895762,22
9.646788990825687,12.784810126582279,23
