viagens,idade
15750,17
28666,18
45475,19
62571,20
84647,21
92234,22
86719,23
85813,24
88172,25
70091,26
67175,27
69321,28
70427,29
56221,30
54491,31
51473,32
40442,33
35952,34
38627,35
31901,36
25784,37
28775,38
22667,39
22653,40
18763,41
20948,42
16222,43
12345,44
15038,45
18615,46
16003,47
16229,48
13720,49
13241,50
15233,51
11018,52
9767,53
11444,54
10051,55
8489,56
9220,57
7155,58
6754,59
3223,60
6123,61
4406,62
4170,63
3705,64
2521,65
2485,66
1804,67
526,68
652,69
271,70
487,71
539,72
228,73
265,74
146,75
13,76
69,77
