neighborhood,bicicletar,minibicicletar
GRANJA LISBOA,0,0
DEMOCRITO ROCHA,0,0
MANOEL SATIRO,0,0
JOAQUIM TAVORA,2,0
CONJUNTO ESPERANCA,0,0
PAUPINA,0,0
PEDRAS,0,0
ANTONIO BEZERRA,0,0
PARQUE SANTA ROSA,0,0
PARANGABA,0,0
CENTRO,10,0
MONTE CASTELO,2,0
CANINDEZINHO,0,0
BOM JARDIM,0,0
DIAS MACEDO,0,0
FLORESTA,0,0
MESSEJANA,0,0
COUTO FERNANDES,0,0
DAMAS,1,0
CASTELAO,0,0
GENTILANDIA,2,0
MOURA BRASIL,0,0
PARQUE PRESIDENTE VARGAS,0,0
COACU,0,0
PARQUE IRACEMA,0,0
DE LOURDES,0,0
PRAIA DE IRACEMA,1,1
JARDIM AMERICA,1,0
ENG LUCIANO CAVALCANTE,1,0
BARRA DO CEARA,0,0
JANGURUSSU,0,0
BENFICA,1,0
CIDADE 2000,0,0
PICI,1,0
PAPICU,4,0
PREFEITO JOSE VALTER,0,0
HENRIQUE JORGE,0,0
SAPIRANGA COITE,0,0
DIONISIO TORRES,3,0
PARQUE DOIS IRMAOS,0,0
JACARECANGA,1,0
CRISTO REDENTOR,0,0
ALVARO WEYNE,0,0
SALINAS,0,0
CIDADE DOS FUNCIONARIOS,0,1
CAIS DO PORTO,0,0
CARLITO PAMPLONA,0,0
VARJOTA,0,0
MONDUBIM,0,0
VILA PERY,0,0
MUCURIPE,0,0
MARAPONGA,0,0
SIQUEIRA,0,0
AEROLANDIA,0,0
JARDIM CEARENSE,0,0
JARDIM IRACEMA,0,0
PRAIA DO FUTURO I,0,0
BARROSO,0,0
JOSE BONIFACIO,2,0
PARQUE ARAXA,0,0
PRESIDENTE KENNEDY,1,0
BOM FUTURO,2,0
JOQUEI CLUBE,0,0
CAMBEBA,0,0
GENIBAU,0,0
RODOLFO TEOFILO,2,0
PARQUE MANIBURA,0,0
PARQUE SAO JOSE,0,0
PADRE ANDRADE,0,0
ALDEOTA,11,2
AMADEU FURTADO,1,0
ITAOCA,0,0
SAO JOAO DO TAUAPE,0,0
GUAJERU,0,0
SABIAGUABA,0,0
BOA VISTA,0,0
JARDIM GUANABARA,0,0
SAO GERARDO,1,1
VILA VELHA,0,0
JARDIM DAS OLIVEIRAS,0,0
CONJUNTO CEARA I,0,0
MANUEL DIAS BRANCO,0,0
DOM LUSTOSA,0,0
CONJUNTO CEARA II,0,0
JOSE DE ALENCAR,0,0
JOAO XXIII,0,0
PANAMERICANO,0,0
GRANJA PORTUGAL,0,0
PARREAO,1,0
DENDE,0,0
VICENTE PINZON,0,0
SAO BENTO,0,0
ALTO DA BALANCA,0,0
PIRAMBU,0,0
COCO,6,0
VILA ELLERY,0,0
QUINTINO CUNHA,0,0
FATIMA,5,0
AEROPORTO,0,0
PRAIA DO FUTURO II,0,0
PLANALTO AYRTON SENNA,0,0
CURIO,0,0
MONTESE,1,0
BELA VISTA,0,0
CAJAZEIRAS,0,0
VILA UNIAO,0,0
MEIRELES,8,0
SERRINHA,0,0
BONSUCESSO,0,0
AUTRAN NUNES,0,0
PATRIOLINO RIBEIRO,3,0
FARIAS BRITO,3,0
PARQUELANDIA,2,0
ITAPERI,0,0
CONJUNTO PALMEIRAS,0,0
PASSARE,0,0
ANCURI,0,0
EDSON QUEIROZ,1,0
LAGOA REDONDA,0,0
