has,prefers,count
MEIRELES,ALDEOTA,51655
ALDEOTA,MEIRELES,46366
CENTRO,MEIRELES,30221
MEIRELES,CENTRO,29434
ALDEOTA,CENTRO,27907
MEIRELES,PRAIA DE IRACEMA,26555
CENTRO,ALDEOTA,26007
PRAIA DE IRACEMA,MEIRELES,25253
GENTILANDIA,CENTRO,15987
CENTRO,GENTILANDIA,14313
PRAIA DE IRACEMA,CENTRO,12676
BENFICA,CENTRO,11954
CENTRO,PRAIA DE IRACEMA,11642
FARIAS BRITO,BENFICA,10815
GENTILANDIA,FATIMA,10573
FATIMA,GENTILANDIA,10390
BENFICA,FARIAS BRITO,9017
CENTRO,BENFICA,8949
FARIAS BRITO,CENTRO,8280
CENTRO,FARIAS BRITO,7232
FARIAS BRITO,GENTILANDIA,6780
MONTE CASTELO,FARIAS BRITO,6695
FATIMA,CENTRO,6399
PRAIA DE IRACEMA,ALDEOTA,6068
GENTILANDIA,FARIAS BRITO,5813
CENTRO,FATIMA,5794
MONTE CASTELO,PARQUELANDIA,5785
FARIAS BRITO,PARQUELANDIA,5616
CENTRO,MONTE CASTELO,5181
MONTE CASTELO,CENTRO,5110
PARQUELANDIA,FARIAS BRITO,5070
BENFICA,FATIMA,4982
PARQUELANDIA,MONTE CASTELO,4954
FARIAS BRITO,MONTE CASTELO,4901
GENTILANDIA,BENFICA,4875
ALDEOTA,PRAIA DE IRACEMA,4544
PARQUELANDIA,BENFICA,4437
BENFICA,GENTILANDIA,4358
PARQUELANDIA,GENTILANDIA,4262
PARQUELANDIA,CENTRO,4222
MONTE CASTELO,BENFICA,3876
GENTILANDIA,MEIRELES,3871
CENTRO,PARQUELANDIA,3747
MEIRELES,COCO,3705
MEIRELES,GENTILANDIA,3540
COCO,ALDEOTA,3513
BENFICA,PARQUELANDIA,3438
GENTILANDIA,ALDEOTA,3405
FATIMA,BENFICA,3394
FATIMA,MEIRELES,3352
COCO,MEIRELES,3246
BENFICA,MEIRELES,3239
GENTILANDIA,PARQUELANDIA,3158
MEIRELES,FATIMA,3101
BENFICA,ALDEOTA,3007
ALDEOTA,COCO,2987
BENFICA,MONTE CASTELO,2961
FARIAS BRITO,ALDEOTA,2938
ALDEOTA,GENTILANDIA,2561
FARIAS BRITO,MEIRELES,2491
FARIAS BRITO,FATIMA,2431
MEIRELES,BENFICA,2383
MONTE CASTELO,GENTILANDIA,2372
FATIMA,FARIAS BRITO,1990
PRAIA DE IRACEMA,GENTILANDIA,1979
MEIRELES,FARIAS BRITO,1952
GENTILANDIA,PRAIA DE IRACEMA,1874
FATIMA,ALDEOTA,1843
GENTILANDIA,MONTE CASTELO,1694
ALDEOTA,FATIMA,1670
PARQUELANDIA,MEIRELES,1611
ALDEOTA,FARIAS BRITO,1561
PARQUELANDIA,ALDEOTA,1521
MONTE CASTELO,MEIRELES,1519
CENTRO,COCO,1505
BENFICA,PRAIA DE IRACEMA,1451
ALDEOTA,BENFICA,1437
MEIRELES,PARQUELANDIA,1395
MEIRELES,MONTE CASTELO,1319
MONTE CASTELO,ALDEOTA,1301
PRAIA DE IRACEMA,FATIMA,1282
PRAIA DE IRACEMA,BENFICA,1280
PARQUELANDIA,FATIMA,1279
COCO,CENTRO,1171
FATIMA,PRAIA DE IRACEMA,1135
ALDEOTA,MONTE CASTELO,1069
PRAIA DE IRACEMA,COCO,873
FARIAS BRITO,PRAIA DE IRACEMA,829
PRAIA DE IRACEMA,FARIAS BRITO,806
PRAIA DE IRACEMA,PARQUELANDIA,784
MONTE CASTELO,PRAIA DE IRACEMA,770
FATIMA,PARQUELANDIA,734
PARQUELANDIA,PRAIA DE IRACEMA,730
PRAIA DE IRACEMA,MONTE CASTELO,722
ALDEOTA,PARQUELANDIA,705
MONTE CASTELO,FATIMA,649
COCO,PRAIA DE IRACEMA,581
FATIMA,MONTE CASTELO,494
COCO,GENTILANDIA,312
COCO,FATIMA,269
FATIMA,COCO,266
GENTILANDIA,COCO,258
COCO,BENFICA,193
BENFICA,COCO,145
MONTE CASTELO,COCO,98
FARIAS BRITO,COCO,89
COCO,PARQUELANDIA,75
COCO,FARIAS BRITO,64
PARQUELANDIA,COCO,60
COCO,MONTE CASTELO,34
