minutos,M,F,O
0.0,2,0.0,0.0
1.0,67,10.0,0.0
2.0,1743,317.0,1.0
3.0,9423,2263.0,7.0
4.0,22398,7593.0,24.0
5.0,31232,11157.0,33.0
6.0,36435,13298.0,19.0
7.0,39441,15125.0,39.0
8.0,40389,15913.0,39.0
9.0,40531,16089.0,52.0
10.0,40556,15952.0,61.0
11.0,39630,16057.0,63.0
12.0,37821,15496.0,58.0
13.0,36197,15101.0,41.0
14.0,33948,14381.0,32.0
15.0,31925,13571.0,38.0
16.0,29702,13106.0,28.0
17.0,27571,12672.0,40.0
18.0,26109,11978.0,22.0
19.0,24255,11402.0,23.0
20.0,22532,10765.0,23.0
21.0,21346,10292.0,33.0
22.0,20252,10004.0,24.0
23.0,18690,9292.0,21.0
24.0,17698,9123.0,9.0
25.0,16780,8579.0,22.0
26.0,15876,8310.0,16.0
27.0,15178,7989.0,27.0
28.0,14422,7596.0,26.0
29.0,13765,7425.0,17.0
30.0,13292,7402.0,22.0
31.0,12831,7200.0,16.0
32.0,12345,7078.0,17.0
33.0,11726,6986.0,13.0
34.0,11572,6798.0,26.0
35.0,10867,6699.0,15.0
36.0,10475,6656.0,17.0
37.0,10321,6534.0,15.0
38.0,9887,6590.0,23.0
39.0,9775,6352.0,22.0
40.0,9335,6350.0,21.0
41.0,9143,6047.0,17.0
42.0,8806,6081.0,20.0
43.0,8495,5915.0,13.0
44.0,8389,5955.0,19.0
45.0,8090,5828.0,14.0
46.0,8014,5665.0,18.0
47.0,7621,5592.0,18.0
48.0,7466,5461.0,11.0
49.0,7329,5578.0,16.0
50.0,7195,5373.0,19.0
51.0,6860,5090.0,10.0
52.0,6598,4981.0,23.0
53.0,6456,4881.0,12.0
54.0,6378,4489.0,14.0
55.0,5869,4559.0,19.0
56.0,5494,4298.0,21.0
57.0,5261,3930.0,16.0
58.0,4828,3737.0,7.0
59.0,4493,3454.0,9.0
60.0,4124,3097.0,12.0
61.0,3577,2870.0,8.0
62.0,3286,2478.0,16.0
63.0,3003,2381.0,2.0
64.0,2733,2214.0,6.0
65.0,2535,1993.0,6.0
66.0,2369,1882.0,6.0
67.0,2221,1709.0,5.0
68.0,2123,1652.0,3.0
69.0,2064,1565.0,3.0
70.0,1865,1506.0,5.0
71.0,1717,1434.0,3.0
72.0,1698,1343.0,7.0
73.0,1639,1326.0,2.0
74.0,1634,1305.0,4.0
75.0,1498,1257.0,3.0
76.0,1443,1191.0,4.0
77.0,1455,1172.0,4.0
78.0,1331,1090.0,3.0
79.0,1323,1092.0,8.0
80.0,1249,1028.0,2.0
81.0,1243,984.0,4.0
82.0,1078,903.0,9.0
83.0,1138,893.0,8.0
84.0,1185,870.0,2.0
85.0,960,832.0,4.0
86.0,945,769.0,2.0
87.0,987,753.0,3.0
88.0,942,754.0,0.0
89.0,891,787.0,4.0
90.0,817,667.0,3.0
91.0,737,659.0,2.0
92.0,667,629.0,6.0
93.0,664,542.0,2.0
94.0,654,507.0,5.0
95.0,607,494.0,1.0
96.0,633,486.0,3.0
97.0,604,453.0,6.0
98.0,547,463.0,3.0
99.0,557,437.0,6.0
100.0,497,375.0,1.0
101.0,547,424.0,3.0
102.0,500,384.0,2.0
103.0,507,383.0,1.0
104.0,449,331.0,3.0
105.0,491,350.0,2.0
106.0,393,356.0,2.0
107.0,413,311.0,1.0
108.0,407,272.0,0.0
109.0,414,285.0,1.0
110.0,407,301.0,4.0
111.0,361,322.0,2.0
112.0,377,263.0,2.0
113.0,353,274.0,2.0
114.0,348,291.0,4.0
115.0,368,292.0,0.0
116.0,323,241.0,4.0
117.0,329,244.0,3.0
118.0,337,221.0,2.0
119.0,340,231.0,2.0
120.0,321,241.0,1.0
121.0,294,225.0,1.0
122.0,293,190.0,3.0
123.0,286,197.0,2.0
124.0,266,201.0,0.0
125.0,245,183.0,3.0
126.0,250,187.0,4.0
127.0,273,188.0,1.0
128.0,244,187.0,1.0
129.0,242,162.0,0.0
130.0,257,152.0,0.0
131.0,249,147.0,0.0
132.0,223,166.0,0.0
133.0,212,170.0,0.0
134.0,221,151.0,0.0
135.0,204,172.0,0.0
136.0,217,152.0,1.0
137.0,186,157.0,1.0
138.0,231,155.0,1.0
139.0,203,143.0,3.0
140.0,197,138.0,1.0
141.0,187,135.0,1.0
142.0,204,141.0,0.0
143.0,167,127.0,0.0
144.0,179,129.0,1.0
145.0,180,133.0,4.0
146.0,179,153.0,1.0
147.0,172,145.0,1.0
148.0,155,112.0,2.0
149.0,154,131.0,2.0
150.0,167,112.0,0.0
151.0,158,107.0,1.0
152.0,169,98.0,0.0
153.0,163,102.0,1.0
154.0,148,113.0,1.0
155.0,152,110.0,3.0
156.0,156,88.0,1.0
157.0,155,106.0,3.0
158.0,142,69.0,0.0
159.0,139,118.0,0.0
160.0,140,96.0,2.0
161.0,141,94.0,1.0
162.0,142,89.0,0.0
163.0,151,90.0,0.0
164.0,131,86.0,0.0
165.0,130,79.0,2.0
166.0,114,83.0,0.0
167.0,104,77.0,0.0
168.0,94,90.0,0.0
169.0,131,88.0,0.0
170.0,119,73.0,2.0
171.0,114,81.0,1.0
172.0,123,71.0,0.0
173.0,106,81.0,1.0
174.0,109,72.0,1.0
175.0,124,73.0,0.0
176.0,123,67.0,0.0
177.0,94,64.0,0.0
178.0,109,51.0,0.0
179.0,120,61.0,1.0
